[2025-04-10 16:25:05] Connected to Server.
[2025-04-10 16:25:19] Authentication sent to Server.
[2025-04-10 16:25:19] Valid login received from Server.
[2025-04-10 16:26:24] PDF header sent to Server.
[2025-04-10 16:26:25] PDF sent to Server.
[2025-04-10 16:26:36] CSV received from Server.
[2025-04-10 16:26:36] CSV saved.
[2025-04-10 16:29:46] Score sent to server.
[2025-04-10 16:29:46] Image size received from Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
[2025-04-10 16:29:46] Received 1024 bytes from the Server.
