[2025-04-09 18:31:48] Couldn't connect to Server.
[2025-04-09 18:31:55] Disconnected from Server.
[2025-04-09 18:34:24] Connected to Server.
[2025-04-09 18:34:37] Authentication sent to Server.
[2025-04-09 18:34:37] Valid login received from Server.
[2025-04-09 18:35:07] PDF header sent to Server.
[2025-04-09 18:35:09] PDF sent to Server.
[2025-04-09 18:35:09] CSV received from Server.
[2025-04-09 18:35:09] CSV saved.
[2025-04-09 18:36:09] Disconnected from Server.
[2025-04-09 18:36:38] Connected to Server.
[2025-04-09 18:36:47] Authentication sent to Server.
[2025-04-09 18:36:47] Valid login received from Server.
[2025-04-09 18:37:17] PDF header sent to Server.
[2025-04-09 18:37:19] PDF sent to Server.
[2025-04-09 18:37:19] CSV received from Server.
[2025-04-09 18:37:19] CSV saved.
[2025-04-09 18:37:37] Score sent to server.
[2025-04-09 18:37:37] Image size received from Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:48] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
[2025-04-09 18:37:49] Received 1024 bytes from the Server.
